post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
49419381,What my dad taught me about AI coding in the 90s,technology,52,12,askmike,2026-08-30 14:39:20.429651,0.22641509433962265,False
49498095,No AI Fridays,technology,46,17,xendo,2026-08-30 14:39:20.621649,0.3617021276595745,False
49496918,Arbitrary code execution in QubesOS via copy-to-VM error reporting backchannel,technology,121,48,vntok,2026-08-30 14:39:20.718469,0.39344262295081966,False
49496782,Longest Straight Line Paths on Water or Land on the Earth (2018),technology,143,38,joebig,2026-08-30 14:39:20.810164,0.2638888888888889,True
49426995,SQLite as a Document Database (2020),technology,231,54,lioeters,2026-08-30 14:39:22.859503,0.23275862068965517,True
49497357,Fair Work Commission condemns 'plain wrong' AI legal advice,technology,41,17,martyvis,2026-08-30 14:39:22.944398,0.40476190476190477,False
49494182,Lawmakers added $1 to car insurance policies. That money paid for Flock cameras,technology,360,232,DeepLogin,2026-08-30 14:39:23.061550,0.6426592797783933,True
49498002,Leak of Internal Valve Data,technology,13,2,thispbowden,2026-08-30 14:39:23.651205,0.14285714285714285,False
49494571,Open Oscar Server: open-source server compatible with AIM and ICQ clients,technology,51,18,gregsadetsky,2026-08-30 14:39:23.996219,0.34615384615384615,False
49491568,"Good Culture Is the Biggest Productivity Hack, Not AI",technology,418,102,gpi,2026-08-30 14:39:24.355229,0.24343675417661098,True
49498133,Nobody Told Me People Still Code New Games for a 1982 Computer,technology,8,1,01-_-,2026-08-30 14:39:24.926572,0.1111111111111111,False
49486081,"StemDeck, a free, open-source and local AI stem separator",technology,231,61,thclpr,2026-08-30 14:39:25.042482,0.2629310344827586,True
49497996,The shrinking landscape of linguistic diversity in the age of LLMs,technology,5,1,Anon84,2026-08-30 14:39:26.025762,0.16666666666666666,False
49492584,Domain-Driven Agents,technology,88,20,AlarQ,2026-08-30 14:39:26.360304,0.2247191011235955,False
49420524,"Show HN: Galaxium, an experimental WebGPU space explorer",technology,125,37,guillaumec,2026-08-30 14:39:27.691879,0.29365079365079366,False
49479072,Verschlimmbesserung: The Word Your Software Updates Need,technology,176,119,speckx,2026-08-30 14:39:28.229464,0.672316384180791,True
49497883,LLM usage in Debian neither endorsed nor prohibited,technology,5,2,birdculture,2026-08-30 14:39:28.527080,0.3333333333333333,False
49495845,The Internet Archive's Vintage AI Collection,technology,22,1,OuterVale,2026-08-30 14:39:29.674090,0.043478260869565216,False
49477854,U.S. sanctions against the A/I Collective,technology,702,761,exiguus,2026-08-30 14:39:30.055769,1.0825035561877667,True
49485416,I accidentally turned LLM memory into program analysis,technology,297,80,matt_d,2026-08-30 14:39:30.419280,0.2684563758389262,True
49475079,Luanti removed from Google Play due to baseless AI copyright notice,technology,518,151,miniBill,2026-08-30 14:39:31.137147,0.2909441233140655,True
49496292,Smartphone LED Detects Hidden Cameras with AI,technology,14,1,geox,2026-08-30 14:39:32.439554,0.06666666666666667,False
49497235,Nvidia's AI advantage is moving beyond the GPU,technology,12,6,01-_-,2026-08-30 14:39:32.890730,0.46153846153846156,False
49415923,Sloc Cloc and Code 4.0 (scc) – Finding the files that need the most attention,technology,46,12,boyter,2026-08-30 14:39:33.169552,0.2553191489361702,False
49491714,Calibrate Before You Accelerate: Bias Toward Action in a New Role,worldnews,167,69,tuckerwales,2026-08-30 14:39:24.245298,0.4107142857142857,True
49491175,Trees for a Changing Climate and Resilient Urban Forest (2022),worldnews,58,14,mooreds,2026-08-30 14:39:27.240221,0.23728813559322035,False
